"symbol","type","database"
"CALCR","hormones_&_receptors","Online resource"
"CALCRL","hormones_&_receptors","Online resource"
"CALR","hormones_&_receptors","Online resource"
"CAMP","predicted secreted protein","HPA"
"CAMP","cytokin/chemokine_&_receptors","GSEA"
"CARTPT","hormones_&_receptors","Online resource"
"CARTPT","predicted secreted protein","HPA"
"CARTPT","predicted secreted protein","VerSeDa"
"CAT","cytokin/chemokine_&_receptors","GSEA"
"CBLC","growth_factors_&_receptors","Online resource"
"CBLC","growth_factors_&_receptors","GOMF"
"CBLIF","predicted secreted protein","HPA"
"CBLN1","predicted secreted protein","HPA"
"CBLN1","predicted secreted protein","VerSeDa"
"CBLN1","secreted protein","NABA"
"CBLN2","predicted secreted protein","HPA"
"CBLN2","secreted protein","NABA"
"CBLN3","predicted secreted protein","HPA"
"CBLN3","predicted secreted protein","VerSeDa"
"CBLN3","secreted protein","NABA"
"CBLN4","predicted secreted protein","HPA"
"CBLN4","secreted protein","NABA"
"CCBE1","predicted secreted protein","HPA"
"CCBE1","secreted protein","NABA"
"CCDC126","predicted secreted protein","HPA"
"CCDC126","predicted secreted protein","VerSeDa"
"CCDC134","predicted secreted protein","HPA"
"CCDC3","predicted secreted protein","HPA"
"CCDC3","predicted secreted protein","VerSeDa"
"CCDC70","predicted secreted protein","HPA"
"CCDC80","predicted secreted protein","HPA"
"CCDC88A","growth_factors_&_receptors","Online resource"
"CCDC88A","growth_factors_&_receptors","GOMF"
"CCER2","predicted secreted protein","HPA"
"CCER2","predicted secreted protein","VerSeDa"
"CCK","hormones_&_receptors","Online resource"
"CCK","predicted secreted protein","HPA"
"CCK","predicted secreted protein","VerSeDa"
"CCK","cytokin/chemokine_&_receptors","GSEA"
"CCKAR","hormones_&_receptors","Online resource"
"CCKBR","hormones_&_receptors","Online resource"
"CCL1","cytokin/chemokine_&_receptors","Online resource"
"CCL1","predicted secreted protein","HPA"
"CCL1","predicted secreted protein","VerSeDa"
"CCL1","cytokin/chemokine_&_receptors","KEGG"
"CCL1","secreted protein","NABA"
"CCL1","cytokin/chemokine_&_receptors","REACTOME"
"CCL1","cytokin/chemokine_&_receptors","WP"
"CCL1","cytokin/chemokine_&_receptors","GSEA"
"CCL11","cytokin/chemokine_&_receptors","Online resource"
"CCL11","predicted secreted protein","HPA"
"CCL11","predicted secreted protein","VerSeDa"
"CCL11","cytokin/chemokine_&_receptors","KEGG"
"CCL11","secreted protein","NABA"
"CCL11","cytokin/chemokine_&_receptors","REACTOME"
"CCL11","cytokin/chemokine_&_receptors","WP"
"CCL11","cytokin/chemokine_&_receptors","GSEA"
"CCL13","cytokin/chemokine_&_receptors","Online resource"
"CCL13","predicted secreted protein","HPA"
"CCL13","predicted secreted protein","VerSeDa"
"CCL13","cytokin/chemokine_&_receptors","KEGG"
"CCL13","secreted protein","NABA"
"CCL13","cytokin/chemokine_&_receptors","REACTOME"
"CCL13","cytokin/chemokine_&_receptors","GSEA"
